FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
36037,,,,,,High,,High,,,,,,,,,,,,,,,,,1,112642.0,8.877683279771311
36039,,Low,,,,,,,,,,,,,,,,,,,,,,,0,75740.0,0.0
36043,,,,,,Low,,Low,,,,,Low,,,,,,,,,,,,1,179710.0,5.564520616548884
36045,,Low,Low,Low,,,Low,,Low,Low,Low,Low,,,Low,,,,,,,,,,0,135723.0,0.0
36047,,High,,,,Low,High,,,Low,Low,Low,,,,,,,,,,,,,42,2890441.0,14.530654664807203
36049,,Low,Low,,,,,,,Low,,,,,,,,,,,,,,,1,92476.0,10.813616505904234
36051,,Low,Low,,,,,,,,,,,,,,,,,,,,,,1,108012.0,9.25823056697404
36053,,Low,Low,,,High,,High,,,,,,,,,,,,,,,,,0,107085.0,0.0
36055,,Low,High,,,High,,High,,Low,,Low,,,,,,,,,High,High,,,13,832645.0,15.612896252304402
36057,,,,,,,,High,,High,Low,High,,,,,,,,,,,,,2,81892.0,24.422410003419134
36059,,High,Low,High,,High,High,Low,Low,High,High,Low,,,,,,,,,,,,,27,1602229.0,16.851523721016157
36061,,Low,Low,,,,,,,,,,,,,,,,,,,,,,15,1756846.0,8.53802780664896
36063,Low,High,Low,Low,,,,High,Low,High,Low,High,,,Low,,,,,,High,High,,,8,244823.0,32.67666845026815
36065,,Low,Low,,,High,,High,Low,Low,,Low,,,,,,,,,,,,,9,270580.0,33.261881883361674
36067,High,Low,High,Low,,High,,High,,Low,,Low,,,,,,,,,,,,,10,595326.0,16.797519342343524
36069,,Low,,,,Low,,Low,,,,,,,,,,,,,,,,,4,239769.0,16.68272378831292
36071,,Low,High,High,Low,Low,High,Low,Low,High,Low,Low,,,,,,,,,,,High,,13,436449.0,29.78583981175349
36073,,,,,,,,,,,,,,,Low,,,,,,,,,,2,85067.0,23.510879659562463
