FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
19021,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,,,0,28127.0,0.0
19023,,,,,,0.0,0.0,1.0,,,,0.0,,,,,,,,,,,,,0,77272.0,0.0
19025,,,,,,,,,,,,,1.0,,,,,,,,,,,,1,13201.0,75.75183698204681
19027,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,1,31017.0,32.240384305380914
19029,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0,17875.0,0.0
19031,,,,,,,,,,,,,1.0,,,,,,,,,,,,0,41892.0,0.0
19033,0.0,,,,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,,,,,,,,,,1.0,1.0,0,51250.0,0.0
19035,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,,,,,,,0,25512.0,0.0
19037,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0,29840.0,0.0
19039,,,,,,0.0,,0.0,,,,,1.0,,,,,,,,,,,,0,16248.0,0.0
19045,,0.0,,1.0,,,1.0,,,0.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1,63677.0,15.704257424187697
19047,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0,28114.0,0.0
19049,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,3,161918.0,18.52789683667041
19055,,,,,,1.0,,1.0,,,,,,,,,,,,,,,0.0,,1,36207.0,27.618968707708454
19057,,,,,,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,0.0,,,,,,,,,,0,44837.0,0.0
19059,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0,39098.0,0.0
